date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:22	13812/13812	---M-Z	200	added ('OK')	text/html	etag:%2235f4-5c3c29c821374-gzip%22	https://mannatthemes.com/dastone/default/auth-login.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/auth-login.html	(from https://mannatthemes.com/dastone/default/)
14:56:22	13812/13812	---M-Z	200	added ('OK')	text/html	etag:%2235f4-5c3c29c821374-gzip%22	https://mannatthemes.com/dastone/default/auth-register.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/auth-register.html	(from https://mannatthemes.com/dastone/default/)
14:56:22	4510/4510	---M-Z	200	added ('OK')	text/html	etag:%22119e-5c3c29c821374-gzip%22	https://mannatthemes.com/dastone/default/auth-recover-pw.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/auth-recover-pw.html	(from https://mannatthemes.com/dastone/default/)
14:56:22	4528/4528	---M-Z	200	added ('OK')	text/html	etag:%2211b0-5c3c29c821374-gzip%22	https://mannatthemes.com/dastone/default/auth-lock-screen.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/auth-lock-screen.html	(from https://mannatthemes.com/dastone/default/)
14:56:23	3684/3684	---M-Z	200	added ('OK')	text/html	etag:%22e64-5c3c29c8203d3-gzip%22	https://mannatthemes.com/dastone/default/auth-404.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/auth-404.html	(from https://mannatthemes.com/dastone/default/)
14:56:23	3686/3686	---M-Z	200	added ('OK')	text/html	etag:%22e66-5c3c29c821374-gzip%22	https://mannatthemes.com/dastone/default/auth-500.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/auth-500.html	(from https://mannatthemes.com/dastone/default/)
14:56:23	48044/48044	---M-Z	200	added ('OK')	text/html	etag:%22bbac-5e039961e9477-gzip%22	https://mannatthemes.com/dastone/default/ui-alerts.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-alerts.html	(from https://mannatthemes.com/dastone/default/)
14:56:23	58664/58664	---M-Z	200	added ('OK')	text/html	etag:%22e528-5e039961e9477-gzip%22	https://mannatthemes.com/dastone/default/ui-avatar.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-avatar.html	(from https://mannatthemes.com/dastone/default/)
14:56:23	69566/69566	---M-Z	200	added ('OK')	text/html	etag:%2210fbe-5e039961e9477-gzip%22	https://mannatthemes.com/dastone/default/ui-buttons.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-buttons.html	(from https://mannatthemes.com/dastone/default/)
14:56:24	51897/51897	---M-Z	200	added ('OK')	text/html	etag:%22cab9-5e039961e9477-gzip%22	https://mannatthemes.com/dastone/default/ui-badges.html	C:/xampp/htdocs/mannathemes/mannatthemes.com/dastone/default/ui-badges.html	(from https://mannatthemes.com/dastone/default/)
